2021-12-23 20:31:46.826 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.other.controller.combineTest], using SpringBootContextLoader
2021-12-23 20:31:46.832 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.other.controller.combineTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-23 20:31:46.833 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.oomall.other.controller.combineTest]: combineTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-23 20:31:47.048 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.edu.xmu.oomall.other.OtherServiceApplication for test class cn.edu.xmu.oomall.other.controller.combineTest
2021-12-23 20:31:47.174 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-23 20:31:47.201 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5be82d43, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@600b0b7, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@345e5a17, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5ea502e0, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@443dbe42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@473b3b7a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1734f68, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@77b7ffa4, org.springframework.test.context.event.EventPublishingTestExecutionListener@5ed190be, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@402f80f5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5bbc9f97, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@133e019b, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@41382722, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7dac3fd8, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@425357dd]
2021-12-23 20:31:48.697 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-12-23 20:31:48.706 [main] INFO  cn.edu.xmu.oomall.other.controller.combineTest - Starting combineTest using Java 11.0.9 on LAPTOP-1BRULHV1 with PID 35084 (started by 10421 in D:\oomall_final\other)
2021-12-23 20:31:48.708 [main] INFO  cn.edu.xmu.oomall.other.controller.combineTest - No active profile set, falling back to default profiles: default
2021-12-23 20:31:50.198 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-23 20:31:50.201 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-23 20:31:50.242 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 0 Redis repository interfaces.
2021-12-23 20:31:50.593 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=263b4cd1-0e68-3ad4-9bb9-acdd7ced4739
2021-12-23 20:31:52.151 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2021-12-23 20:31:52.638 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-12-23 20:31:53.507 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'freight-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:54.654 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'order-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.022 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'activity-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.050 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'goods-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.126 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'shop-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.241 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'transaction-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.325 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'refund' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:31:55.574 [main] INFO  o.s.cloud.openfeign.FeignClientFactoryBean - For 'coupon-service' URL not provided. Will try picking an instance via load-balancing.
2021-12-23 20:32:06.481 [main] INFO  o.s.b.test.mock.web.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2021-12-23 20:32:06.481 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Initializing Servlet ''
2021-12-23 20:32:06.485 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 3 ms
2021-12-23 20:32:07.435 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2021-12-23 20:32:08.614 [main] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='coupon-group', nameServer='121.36.1.4:9876', topic='coupon-topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='1', messageModel=CLUSTERING}
2021-12-23 20:32:08.614 [main] INFO  o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:couponConsumerListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2021-12-23 20:32:09.671 [main] INFO  o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='aftersales-refund-group', nameServer='121.36.1.4:9876', topic='refund-type2-notify-topic', consumeMode=ORDERLY, selectorType=TAG, selectorExpression='*', messageModel=CLUSTERING}
2021-12-23 20:32:09.672 [main] INFO  o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:refundConsumerListener, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_2
2021-12-23 20:32:10.266 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: String, dataTypeClass: class java.lang.Void
2021-12-23 20:32:10.270 [main] WARN  s.d.s.r.operation.OperationImplicitParameterReader - Unable to interpret the implicit parameter configuration with dataType: AddressVo, dataTypeClass: class java.lang.Void
2021-12-23 20:32:10.270 [main] WARN  s.d.builders.BodyParameterSpecificationProvider - Parameter should either be a simple or a content type
