2021-12-24 17:55:45.179 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [cn.edu.xmu.oomall.other.controller.CouponControllerTest], using SpringBootContextLoader
2021-12-24 17:55:45.186 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [cn.edu.xmu.oomall.other.controller.CouponControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2021-12-24 17:55:45.187 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [cn.edu.xmu.oomall.other.controller.CouponControllerTest]: CouponControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2021-12-24 17:55:45.419 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration cn.edu.xmu.oomall.other.OtherServiceApplication for test class cn.edu.xmu.oomall.other.controller.CouponControllerTest
2021-12-24 17:55:45.557 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2021-12-24 17:55:45.580 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e886a5b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@d816dde, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@6e33c391, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6c451c9c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@31c269fd, org.springframework.test.context.support.DirtiesContextTestExecutionListener@372b0d86, org.springframework.test.context.transaction.TransactionalTestExecutionListener@47747fb9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3113a37, org.springframework.test.context.event.EventPublishingTestExecutionListener@213e3629, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@4e9658b5, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2a7b6f69, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@20312893, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@70eecdc2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@c41709a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7db0565c]
2021-12-24 17:55:47.174 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2021-12-24 17:55:47.194 [main] INFO  c.e.x.oomall.other.controller.CouponControllerTest - Starting CouponControllerTest using Java 11.0.9 on LAPTOP-1BRULHV1 with PID 25864 (started by 10421 in D:\oomall_final\other)
2021-12-24 17:55:47.197 [main] INFO  c.e.x.oomall.other.controller.CouponControllerTest - No active profile set, falling back to default profiles: default
2021-12-24 17:55:48.784 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-24 17:55:48.787 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
